🔹 Bloque 1 – Corregimiento Cay
Corregimiento,Vereda
Cay,Cay Parte Baja
Cay,Cay Parte Alta
Cay,El Cural
Cay,El Gallo
Cay,La Cascada
Cay,La Coqueta
Cay,La Victoria
Cay,Piedecuestas
Cay,Las Amarillas

Bloque 2 – Corregimiento Villa Restrepo
Corregimiento,Vereda
Villa Restrepo,Isla de Llanitos
Villa Restrepo,Llanitos
Villa Restrepo,Pastales Viejo
Villa Restrepo,Pastales Nuevo
Villa Restrepo,Pico de Oro
Villa Restrepo,Tres Esquinas
Villa Restrepo,Astilleros
Villa Restrepo,Berlín
Villa Restrepo,Chapetón Rural
Villa Restrepo,El Corazón
Villa Restrepo,El Retiro
Villa Restrepo,El Secreto
Villa Restrepo,La María Combeima
Villa Restrepo,La María Piedra Grande La Cima
Villa Restrepo,La Plata del Brillante
Villa Restrepo,La Platica
Villa Restrepo,Puerto Perú Llanitos Parte Alta
Villa Restrepo,Ramos y Astilleros

🔹 Bloque 3 – Corregimiento Coello-Cocora
Corregimiento,Vereda
Coello-Cocora,Coello Cocora
Coello-Cocora,Los Túneles
Coello-Cocora,San Rafael
Coello-Cocora,Honduras
Coello-Cocora,La Cima
Coello-Cocora,La Linda
Coello-Cocora,Loma de Cocora
Coello-Cocora,Morrochusco
Coello-Cocora,San Cristóbal Parte Alta
Coello-Cocora,San Cristóbal Parte Baja
Coello-Cocora,San Francisco
Coello-Cocora,San Isidro
Coello-Cocora,San Simón Alto
Coello-Cocora,San Simón Bajo
Coello-Cocora,Santa Ana
Coello-Cocora,Santa Bárbara






